,장소이름,소개,가격대,요리,특별식 제공,식사 시간,특징
998,이천,,,,,,
999,세화식당,,,,,,
1000,바다건너 종달리,,,카페,,,
1001,다랑쉬,,,,,,
1002,BHC,,,,,,
1003,피노,,,,,,
1004,향우토종닭,,,,,,
1005,Dal.komm Coffee,,,카페,,"아침식사, 점심식사, 저녁식사",
1006,제주갈치와고등어,,,,,,
1007,That's Coffee,,,카페,,,
1008,종이시계,,,카페,,,
1009,호떡분식,,,,,,
1010,원항아리칼국수보쌈,,,,,"점심식사, 저녁식사",
1011,새큰이가든,,,,,,
1012,삼영식당,,,,,,
1013,빠빠라기,,,,,,
1014,어부횟집,,,,,,
1015,펀앤펀도채비커피,,,,,,
1016,명보마트식당,,,,,,
1017,명천해장국,,,,,,
1018,세화어머니손맛식당,,,,,,
1019,풀하우스,,,,,,
1020,리영식당,,,,,,
1021,무인카페노을언덕,,,,,,
1022,거금도아구해물찜,,,,,,
1023,김밥천국,,,,,,
1024,투썸플레이스,,,,,,
1025,하영먹어도돼지,,,,,,
1026,신제주보쌈,,,,,,
1027,엔돌핀노래연습장,,,,,,
1028,코바코,,,,,,
1029,뼈다귀탕,,,,,,
1030,스시앤,,,"일본 요리, 스시",,,
1031,세화통닭,,,,,,
1032,효도뷔페,,,,,,
1033,미향해장국,,,,,"아침식사, 점심식사, 저녁식사",
1034,굽네치킨,,,,,,
1035,루머팡,,,,,,
1036,다호초밥,,,,,,
1037,추담골,,,,,,
1038,더후라이팬,,,,,,
1039,광평도새기촌,,,,,,
1040,바우식당,,,,,,
1041,쎌빠,,,,,,
1042,국수명가,,,,,,
1043,삼춘네돼지,,,,,,
1044,엉클통김밥,,,,,,
1045,그옛맛,,,,,,
1046,복도새기,,,,,,
1047,어촌계식당,,,,,,
1048,짱김밥,,,,,,
1049,맨도롱또똣,,,"아시아 요리, 한국",,,
1050,돈앤돌,,,,,,
1051,한옥마을,,,,,,
1052,하루방흑돼지,,,,,,
1053,거북이날개달다,,,,,,
1054,까페엠,,,,,,
1055,조선국수,,,,,,
1056,썸데이,,,,,,
1057,현다방,,,,,,
1058,두리아치킨,,,,,,
1059,털보식당,,,,,,
1060,제원칼집,,,,,,
1061,다미정,,,,,,
1062,밤낭골토종닭오리,,,,,,
1063,제주어촌,,,,,,
1064,물꼬기,,,,,,
1065,해어랑횟집,,,,,,
1066,사형제횟집,,,,,,
1067,연미정,,,,,,
1068,고프로회국수,,,,,,
1069,죠스떡볶이,,,,,,
1070,빌레와너드랑,,,,,,
1071,만나식당,,,,,,
1072,스시혼,,,"아시아 요리, 한국",,,
1073,24시뼈다귀탕,,,,,,
1074,소라횟집,,,,,,
1075,이산저산식당,,,,,,
1076,골목식당,,,,,,
1077,시티오브에스프레소,,,,,,
1078,웅담,,,"아시아 요리, 한국",,,
1079,하르방밀면,,,,,,
1080,소렉,,,이탈리아 요리,,,
1081,제주광해,,,"아시아 요리, 한국",,,
1082,월정리허벅식당,,,,,,
1083,아이스빈,,,,,,
1084,천하육회,,,,,,
1085,화목원,,,한국,,"점심식사, 저녁식사",
1086,중앙양과,,,,,,
1087,이야기별방,,,,,,
1088,배스킨라빈스31,,,,,,
1089,대정 바다,,,"아시아 요리, 한국",,,
1090,이도정어부,,,,,,
1091,소낭뜰,,,,,,
1092,강명선샤브샤브,,,,,,
1093,더스트롱홀드,,,,,,
1094,명원가든,,,,,,
1095,할매추어탕,,,,,,
1096,국수네집,,,"아시아 요리, 한국",,,
1097,보통사람들,,,,,,
1098,탐라정,,,,,,
1099,수용횟집,,,,,,
1100,바다와언덕가든,,,,,,
1101,함덕쉼팡,,,,,,
1102,전설의짬뽕,,,,,,
1103,해안도로식당,,,,,,
1104,한라명동칼국수,,,,,,
1105,만강홍,,,,,,
1106,오빠닭,,,,,,
1107,던킨 도너츠 제주공항점,,,,,,
1108,빠빠라기,,,,,,
1109,옛날홍가네칼국수,,,,,,
1110,부부떡집,,,,,,
1111,신라스테이제주 카페,,,카페,,,
1112,물통한방오리,,,,,,
1113,용운횟집,,,,,,
1114,임성반점,,,,,,
1115,오니기리와이규동,,,,,,
1116,요거프레소,,,,,,
1117,맘스터치,,,,,,
1118,삼화포구,,,,,,
1119,영풍치킨,,,,,,
1120,챠우,,,,,,
1121,본죽,,,,,,
1122,패밀리만두,,,,,,
1123,루머팡,,,,,,
1124,샐러드앤미미,,,,,,
1125,마레벤또,,,,,,
1126,안브런치힐링하우스,,,,,,
1127,씨블루,,,,,,
1128,촐라체,,,,,저녁식사,
1129,치맥집,,,,,,
1130,거부 한정식,,,"아시아 요리, 한국",,,
1131,옹포횟집,,,,,,
1132,해조대횟집,,,,,,
1133,황새김밥국수,,,,,,
1134,해미일식,,,,,,
1135,전주아줌마식당,,,,,,
1136,망고식스,,,,,,
1137,도두횟집,,,,,,
1138,후년하우스,,,,,,
1139,옛정의골식당,,,"아시아 요리, 한국",,,
1140,피자마을,,,,,,
1141,대춘식당,,,,,,
1142,화성식당,,,,,,
1143,금능낙원,,,,,,
1144,다비다비,,,,,,
1145,송탄부대찌개집,,,,,,
1146,순희식당,,,,,,
1147,파도식당,,,,,,
1148,아자부 카페,,,,,,
1149,듬삭식당,,,,,,
1150,황금닭갈비,,,"아시아 요리, 한국",,,
1151,화통삼,,,,,,
1152,할망곰탕집,,,,,,
1153,순정감자,,"₩2,000 - ₩7,000","자가 맥주 판매pub, 펍",,,
1154,해곰해장국,,,,,,
1155,모슬포식당,,,,,,
1156,엔,,,,,,
1157,달콤한닭강정,,,,,,
1158,죠스떡볶이,,,,,,
1159,107M2,,,,,,
1160,자연몸국,,,,,,
1161,조간대밥집,,,,,,
1162,우월한,,,,,,
1163,곰해장국,,,,,,
1164,배터지는생돈까스,,,,,,
1165,옛날깡통석쇠구이,,,,,,
1166,만복해장국,,,,,,
1167,물항아리,,,,,,
1168,한스케이55부대찌개,,,,,,
1169,석촌식당,,,,,,
1170,전주횟집,,,,,,
1171,자매네,,,,,,
1172,빨간집,,,,,,
1173,맵수다,,,,,,
1174,도미노피자,,,,,,
1175,부래옥,,,,,,
1176,금강산숯불돼지갈비,,,,,,
1177,남문치킨앤숯불바베큐,,,,,,
1178,인풍뼈감탕해장국,,,,,,
1179,거성치킨,,,,,,
1180,거성치킨,,,,,,
1181,요리하는김선장,,,,,,
1182,닻숯불막창깡통구이,,,,,,
1183,민자식당,,,,,,
1184,노다지노래연습장,,,,,,
1185,이층해장국,,,,,,
1186,네네치킨,,,,,,
1187,난타오천,,,,,,
1188,해락원삼계탕,,,,,,
1189,달콤한닭강정,,,,,,
1190,삼바리회센타,,,,,,
1191,해진횟집,,,"해산물, 아시아 요리, 한국",,,
1192,광양해장국,,,,,,
1193,빠라빠빵,,,,,,
1194,다정,,,,,,
1195,부래옥,,,,,,
1196,선명횟집,,,,,,
1197,돈돈촌,,,,,,
1198,카페헤이브라운,,,,,,
1199,엉클통김밥 애월점,,,"아시아 요리, 한국",,,
1200,재혁이네국수,,,,,,
1201,공단반점,,,,,,
1202,코코플래이트,,,,,,
1203,아일랜드스푼,,,,,,
1204,혼섬갈비,,,,,,
1205,시골길,,,,,,
1206,포구횟집,,,,,,
1207,동북왕,,,,,,
1208,연동신번지,,,,,,
1209,우마이오뎅빠,,,,,,
1210,레드팬더,,,,,,
1211,돈떵이,,,,,,
1212,왕통가마솥,,,,,,
1213,신우성회관,,,,,,
1214,한을식당,,,,,,
1215,그집에가면,,,,,,
1216,풍전,,,,,,
1217,복래순,,,,,,
1218,창신동매운족발,,,,,,
1219,한담의바다풍경,,,,,,
1220,용두암해물탕,,,,,,
1221,용두암바당회국수,,,,,,
1222,솔참치,,,,,,
1223,국수초록,,,"아시아 요리, 한국",,,
1224,국시트멍,,,,,,
1225,칠성포차,,,,,,
1226,그린기사식당,,,,,,
1227,장씨네화로구이,,,,,,
1228,숨어있는집,,,,,,
1229,화물터미널음식점,,,,,,
1230,월척,,,,,,
1231,기쁨이네감자탕,,,,,,
1232,월정해변회국수,,,,,,
1233,죽이야기 CAFE제주점,,,"아시아 요리, 한국",,,
1234,허브팜카페,,,,,,
1235,방일해장국,,,,,,
1236,황가네제주,,,"아시아 요리, 한국",,,
1237,루스트플레이스,,,,,,
1238,안비양해녀의집,,,,,,
1239,우도횟집,,,"해산물, 아시아 요리, 한국",,,
1240,죽이야기 화북점,,,"아시아 요리, 한국",,,
1241,로뎀가든,,,,,,
1242,롯데리아 신제주,,,,,,
1243,강풍식당,,,,,,
1244,하얀성,,,,,,
1245,용이식당,,,,,,
1246,해올레가든,,,"아시아 요리, 한국",,,
1247,하영 흑돼지 구이집,,,"아시아 요리, 한국",,,
1248,블랙포엠,,,,,,
1249,곶자왈손칼국수,,,,,,
1250,용두암해촌,,,,,,
1251,재암식당,,,,,,
1252,손맛촌,,,"아시아 요리, 한국",,,
1253,홍콩미각,,,,,,
1254,해금강횟집,,,"해산물, 중국 요리, 일본 요리, 아시아 요리, 한국",,"야간 영업, 점심식사, 저녁식사","테이크아웃, 예약, 야외석, 노상 주차, 무료 주차장, 발렛주차, 무료 야외 주차, 텔레비전, 휠체어 이용 가능, 주류 판매, 무료 와이파이, 신용카드 결제 가능"
1255,한양뼈감탕,,,,,,
1256,노라바,,,,,,
1257,제주석다원,,,,,,
1258,촌촌해녀촌,,,,,,
1259,육고깃집,,,,,,
1260,길식당,,,,,,
1261,키친수다,,,,,,
1262,먹쿠슬낭여행자카페,,,,,,
1263,7080돼지국밥,,,,,,
1264,금메달,,,,,,
1265,맥반석식당,,,,,,
1266,맥반석식당,,,,,,
1267,마음한줄,,,,,,
1268,은혜성,,,,,,
1269,이호숯불갈비,,,,,,
1270,어사랑횟집,,,,,,
1271,장마루보양탕,,,,,,
1272,이어도횟집,,,,,,
1273,뽕뜨락피자,,,,,,
1274,해오름다방,,,,,,
1275,장미다방,,,,,,
1276,우정식당,,,,,,
1277,도다리새꼬시회,,,,,,
1278,조아찌,,,,,,
1279,뚱땡이밥집,,,,,,
1280,용우동,,,,,,
1281,뽀글뽀글,,,,,,
1282,세화쌍둥이횟집,,,,,,
1283,세화해녀잠수촌,,,,,,
1284,세화오리촌,,,,,,
1285,세화바당,,,,,,
1286,해창호횟집,,,,,,
1287,연지단란주점,,,,,,
1288,THE돈,,,,,,
1289,마농,,,,,,
1290,마농,,,,,,
1291,올레파이,,,,,,
1292,용궁반점,,,,,,
1293,미스터곰,,,,,,
1294,자전거빵,,,,,,
1295,풍경채,,,,,,
1296,안세미가든,,,,,,
1297,엔돌핀다방,,,,,,
1298,수목원가는길,,,,,,
1299,꺼멍도새기,,,,,,
1300,꺼멍싸바,,,,,,
1301,황제의밤,,,,,,
1302,숙경식당,,,,,,
1303,본죽,,,,,,
1304,노형탑부평참숯구이,,,,,,
1305,카페띠아모,,,,,,
1306,용두바당횟집,,,,,,
1307,우미정,,,,,,
1308,쉬는팡,,,,,,
1309,엄바위,,,,,,
1310,엔제리너스,,,,,,
1311,월랑봉,,,,,,
1312,신라제과,,,,,,
1313,큰언니국수,,,,,,
1314,섬나라일식초밥,,,,,,
1315,시암 타이랜드 레스토랑 앤 카페,,,,,,
1316,상하이반점,,,,,,
1317,월정역,,,,,,
1318,만남다방,,,,,,
1319,명당양과,,,,,,
1320,몸냥,,,"아시아 요리, 한국",,,
1321,교차로다방,,,,,,
1322,수아,,,,,,
1323,카페아프리카,,,,,,
1324,소레노래연습장,,,,,,
1325,피자가기기막혀,,,,,,
1326,루스트플레이스 아라점,,,"인터내셔널, 아시아 요리, 한국",,,
1327,평대블루스,,,,,,
1328,뜨로,,,,,,
1329,전통주점창,,,,,,
1330,천하일미회관,,,,,,
1331,영아네맛집,,,,,,
1332,도미노피자,,,,,,
1333,땅땅치킨,,,,,,
1334,뜰채,,,,,,
1335,강풍식당,,,,,,
1336,차숙이양대창,,,,,,
1337,공리,,,,,,
1338,즐겨찾기,,,,,,
1339,차귀횟집,,,,,,
1340,동명노래연습장,,,,,,
1341,길목통닭,,,,,,
1342,고래사냥단란주점,,,,,,
1343,서울식당,,,,,,
1344,탁이국수,,,,,,
1345,속초식당,,,,,,
1346,고고짬뽕,,,,,,
1347,피쉬&그릴,,,,,,
1348,복진아구찜,,,,,,
1349,작은부엌,,,,,,
1350,탑동전주회관,,,,,,
1351,태선갈비,,,,,,
1352,웰빙노래연습장,,,,,,
1353,광평도새기촌,,,,,,
1354,서울풍미식당,,,,,,
1355,광주아구찜,,,,,,
1356,서울뚝배기,,,,,,
1357,우리식당,,,,,,
1358,정다운다방,,,,,,
1359,향다방,,,,,,
1360,북경,,,,,,
1361,한올래,,,,,,
1362,보경반점,,,,,,
1363,초원보리빵,,,,,,
1364,도래지,,,,,,
1365,바삭바삭,,,,,,
1366,혁이네횟집,,,,,,
1367,피쉬&그릴,,,,,,
1368,굿모닝해장국,,,,,,
1369,처갓집치킨,,,,,,
1370,정한가든,,,,,,
1371,만조소머리곰탕,,,,,,
1372,항골,,,,,,
1373,바당분식,,,,,,
1374,선미네,,,,,,
1375,탐라,,,,,,
1376,달래식당,,,,,,
1377,던킨도너츠,,,,,,
1378,종종,,,,,,
1379,종점역,,,,,,
1380,맥도날드,,,,,,
1381,애월항,,,,,,
1382,애월해장국소머리국밥,,,,,,
1383,제주명과,,,,,,
1384,제주청파식당횟집,,,,,,
1385,쏭쏭,,,,,,
1386,까만돌멩이카페,,,,,,
1387,한아름베이커리,,,,,,
1388,제주늘봄,,,"아시아 요리, 한국",,,
1389,흑돼지깡통구이,,,,,,
1390,돈구어,,,,,,
1391,다크니스,,,,,,
1392,제주야,,,,,,
1393,토크쇼,,,,,,
1394,장원식당,,,,,,
1395,은성식당,,,,,,
1396,은성식당,,,,,,
1397,제바나횟집,,,,,,
1398,영암식당,,,,,,
1399,카페베네 제주노형타워점,,,카페,,,
1400,우도반점,,,,,,
1401,쪼인게스트하우스,,,,,,
1402,망고식스,,,,,,
1403,아끈디,,,,,,
1404,까투리,,,,,,
1405,달테이블 제주노형점,,,"아시아 요리, 한국",,,
1406,미인과노래연습장,,,,,,
1407,비비큐치킨앤피자,,,,,,
1408,세화국수동네,,,,,"아침식사, 점심식사, 저녁식사",
1409,갯마리가든,,,,,,
1410,파파이스,,,,,,
1411,도치돌가든,,,,,,
1412,고기왕,,,,,,
1413,돈드림가든,,,,,,
1414,유재덕의산양산삼해물라면,,,"아시아 요리, 한국",,,
1415,탐라면,,,"아시아 요리, 한국",,,
1416,돌담집,,,,,,
1417,제주대게회타운,,,,,,
1418,BHC,,,,,,
1419,노량진,,,,,,
1420,아레파그릴,,"₩4,000 - ₩19,000","와인 바, 베네수엘라, 남미 요리",,"브런치, 음료, 점심식사","무료 주차장, 유아용 의자 있음, 주류 판매, 다양한 주류를 제공, 와인 및 맥주, 무료 와이파이"
1421,오빠네회국수,,,,,,
1422,방목흑돼지,,,,,,
1423,밥빠,,,,,,
1424,성아시,,,,,,
1425,멕시카나치킨,,,,,,
1426,본가,,,,,,
1427,곽지식당,,,,,,
1428,섬횟집,,,,,,
1429,정서방해물뚝배기,,,,,,
1430,이호체험배낚시,,,,,,
1431,구엄어촌계해산물센터,,,,,,
1432,패밀리피자,,,,,,
1433,인도커리우드 - 제주점,,"₩9,000 - ₩15,000","인도 요리, 필리핀, 아시아 요리, 중동 요리, 파키스탄, 방글라데쉬, 스리랑카",,,
1434,진대감 제주점,"진대감 차돌삼합은 차돌박이와 관자, 그리고 새콤달콤한 나물들의 조합으로 남녀노소 상관없이 맛집으로 소문난 음식점입니다.","₩5,000 - ₩25,000","바베큐, 아시아 요리, 한국, 그릴",,,
1435,이가촌,,,,,,
1436,캐나다삼촌집,,,,,,
1437,던킨 도너츠 제주대학병원,,,그리스 요리,,,
1438,이비가짬뽕,,,,,,
1439,또래오래,,,,,,
1440,퀴클리,,,,,,
1441,외가집횟집,,,,,,
1442,서가앤쿡 - 제주노형점,,,이탈리아 요리,,,
1443,라지마할,,,,,,
1444,나눔떡볶이,,,,,,
1445,검은쇠몰고오는,,,,,,
1446,퓨전마트,,,,,,
1447,아테쉬,,,터키,,저녁식사,
1448,천리맛집,,,,,,
1449,카페베네 신제주연동점,,,카페,,,
1450,인제연탄돼지,,,,,,
1451,싱싱왕만두땡초김밥,,,,,,
1452,복자씨연탄구이 함덕점,,,,,,
1453,거봉국수,,,,,,
1454,통발횟집,,,,,,
1455,해녀와바다,,,,,,
1456,용두암갯바위,,,,,,
1457,전설의마녀,,,,,,
1458,신현대식당,,,"아시아 요리, 한국",,,
1459,갯바위횟집,,,,,,
1460,해마루,,,,,,
1461,광평도새기촌,,,,,,
1462,해성도뚜리,,,,,,
1463,황금고팡,,,,,,
1464,모메존,,,,,,
1465,해원앙,,,,,,
1466,후루사또,,,,,,
1467,더꽃돈,,,"스테이크하우스, 바베큐, 아시아 요리, 한국, 그릴",,,
1468,다희연,,,,,,
1469,독개물항횟집,,,,,,
1470,준반점,,,,,,
1471,민우네국수,,,,,,
1472,마시카,,,,,,
1473,이게밥도둑,,"₩14,117,647 - ₩58,823,528","바베큐, 아시아 요리, 한국",,"점심식사, 저녁식사, 야간 영업","테이크아웃, 예약, 좌석, 주차 가능, 노상 주차, 무료 주차장, 무료 야외 주차, 텔레비전, 휠체어 이용 가능, 주류 판매, 다양한 주류를 제공, 무료 와이파이, 신용카드 결제 가능"
1474,용두암해촌,,,"아시아 요리, 한국",,,
1475,바당좀녀의집,,,,,,
1476,트라인커피,,,카페,,"아침식사, 점심식사, 저녁식사",
1477,바보라면,,,"중국 요리, 아시아 요리, 한국",,,
1478,금보식당,,,,,,
1479,비자림부엉이,,,,,,
1480,광어공방,"광어공방은 숙성광어회 포장전문점(Take out only)입니다. 광어공방의 숙성회는 최적의 온도와 수 시간의 기다림으로 이노신산(IMP)의 함량을 증가시켜 감칠맛이 풍부합니다. 소형광어(1Kg)는 사용하지 않고, 엄선된 제주대광어와 채소로 온가족이 즐길 수 있는 바른먹거리를 만듭니다.","₩15,000 - ₩25,000","일본 요리, 해산물",,"점심식사, 저녁식사","테이크아웃, 예약, 주차 가능, 노상 주차, 신용카드 결제 가능"
1481,산호반점,,,,,,
1482,김밥천국,,,,,,
1483,선인장,,,"아시아 요리, 한국",,,
1484,전망대횟집,,,,,,
1485,용출횟집,,,,,,
1486,요레,,,,,,
1487,협재온다정,,,,,,
1488,용담밭담,,"₩17,647,060 - ₩29,411,764","아시아 요리, 한국",,"아침식사, 점심식사, 저녁식사","예약, 주차 가능, 무료 주차장, 무료 야외 주차, 유아용 의자 있음, 휠체어 이용 가능, 주류 판매, 다양한 주류를 제공, 무료 와이파이, 가족형, 금연 음식점"
1489,이삭토스트 - 제주 칠성로점,,,"카페, 아시아 요리, 한국",,,
1490,밥먹자,,,"아시아 요리, 한국",,,
1491,곽지스테이션,,,카페,,,
1492,조천고깃간,"제주도 조천에 위치한 조천흑돼지 맛집! 조천고깃간입니다. 함덕에서 차로 5분거리에 위치한 아기자기하게 예쁜 동네에요. 정말 맛있는 흑돼지와 장아찌들의 향연! 저희 조천고깃간에서만 만날 수 있는 톳장아찌의 매력에 빠져보세요! 연탄불에 구워 더욱 맛있는 돼지고기와 함께 즐길 수 있는 김치찌개, 비빔국수 그리고 살얼음 가득한 동치미국수까지! 예쁜 타일에서 먹는 돼지고기의 맛은 더욱 특별하게 느껴질 거에요-","₩7,000 - ₩55,000","바베큐, 아시아 요리, 한국, 그릴",,저녁식사,"노상 주차, 무료 야외 주차, 유아용 의자 있음, 주류 판매, 다양한 주류를 제공, 무료 와이파이, 신용카드 결제 가능, 가족형, 금연 음식점"
1493,배롱정원,,,"아시아 요리, 한국",,,
1494,대관원,제주시 공항 인근에 있는 중식당 입니다 가격이 알찬 식사메뉴부터 고급스러운 코스 요리까지 다양한 메뉴로 준비 되어 있습니다 친절하고 편안한 분위기로 모시겠습니다 Open 11:00 Close 9:00 둘째 넷째 월요일 휴무 쉬는시간 없습니다 배달하지 않습니다 주차이용은 주변 공용주차장 주차바랍니다,"₩5,000 - ₩70,000",중국 요리,,,
1495,목수포차,,,"해산물, 아시아 요리, 한국, 그릴, 길거리 음식",,,
1496,Lamb House,,,아시아 요리,,,
1497,카카오프렌즈 카페 - 제주,,,"카페, 아시아 요리, 한국",,,
1498,시루애월,,,"카페, 아시아 요리, 한국, 퓨전",,,
1499,윤옥,,,,,,
1500,달코롬쑥보리빵,,,"아시아 요리, 한국",,,
1501,Burger 307,,,미국 요리,,,
1502,던킨 도너츠 제주탑동,,,,,,
1503,제주 홀리데이 로맨스,전직 헤드헌터가 운영하는 제주도의 숨겨졌던 여행지를 발견하고 전국에서 모인 새로운 친구들을 만나는 테마카페. #여행정보 #여행동행 #스피드데이팅 #미팅파티 #소개팅파티,"₩12,000 - ₩44,000","바, 카페, 펍, 와인 바",,,
1504,노티카우,,"₩4,000 - ₩6,000",,,"점심식사, 저녁식사",
1505,홍사출돈가,,,,,,
1506,섬소나이,,,퓨전,,,
1507,엄마손횟집,,,"아시아 요리, 한국",,,
1508,청송도시락,,,,,,
1509,서서방숯불닭갈비,,,"아시아 요리, 한국",,,
1510,내고향해장국,,,,,,
1511,대어,,,"일본 요리, 스시",,,
1512,홋카이도,,,,,,
1513,숯불구이양고기전문점,,,,,,
1514,산촌감자탕아구찜,,,,,,
1515,나드리뷔페,,,,,,
1516,성복식당,,,"아시아 요리, 한국",,,
1517,고전떡볶이,,,"패스트푸드, 아시아 요리, 한국, 길거리 음식",,,
1518,칠성골 흑돼지,,,아시아 요리,,,
1519,어쇼일식,,,,,,
1520,명품천하,,,,,,
1521,말이랑흑도새기랑,,,"인도 요리, 아시아 요리, 한국",,,
1522,제복일식,,,일본 요리,,,
1523,모들한상,,,"이탈리아 요리, 일본 요리, 일본식 퓨전",,,
1524,제주돔,,,"아시아 요리, 한국",,,
1525,단디501,,,"아시아 요리, 한국",,,
1526,제주도그릴 - 특상 제주본점,,,"아시아 요리, 한국",,"점심식사, 저녁식사",
1527,Pasto,,,"그릴, 퓨전",,,
1528,블랙스완씨,,,,,,
1529,우리회수산,,,"해산물, 아시아 요리, 한국",,,
1530,너는 파라다이스 길리,,,,,,
1531,짬뽕상회 - 제주직영점,,,중국 요리,,,
1532,2093하우스,,,,,,
1533,20년전통부대찌개,,,,,,
1534,쇼군,,,"중국 요리, 일본 요리, 아시아 요리, 한국, 펍, 퓨전",,,
1535,꼴두바위,,,,,,
1536,산적,,,,,,
1537,진홍식당,,,"아시아 요리, 한국",,,
1538,청담이상 - 신제주점,"청담이상 신제주점은 분위기있는 인테리어와 손님들이 독립적인 공간에서 즐길수 있는 공간이 마련 되어있습니다. 신선한 사시미부터 꼬치류, 구이류, 볶음류까지 고객님들의 입맛에 맞는 음식이 준비되어 있습니다.","₩10,000 - ₩40,000","일본 요리, 아시아 요리, 한국, 퓨전",,"저녁식사, 야간 영업, 음료","예약, 주차 가능, 노상 주차, 무료 주차장, 무료 야외 주차, 주류 판매, 다양한 주류를 제공, 무료 와이파이, 신용카드 결제 가능"
1539,차롱,,,"아시아 요리, 한국",,점심식사,
1540,제주 탭룸3029,,,"미국 요리, 아시아 요리, 한국",,,
1541,갤러리 라운지,"전통적인 방짜유기와 자개로 꾸며진 화려한 인테리어를 즐기며 여행 또는 일상 속의 피로함을 풀어주는 커피 한잔의 여유로움을 만끽할 수 있는 곳입니다. 고메 커피, 제주 스페셜티와 곁들여지는 수제 케이크와 함께 저녁식사전 가볍게 샴페인 한잔을 즐길 수 있는 장소로도 완벽합니다.",,"카페, 컨템퍼러리",,"점심식사, 저녁식사",
1542,문쏘,,,인도 요리,,,
1543,자구내,,,,,,
1544,99밸리,"24시간 운영되는 레스토랑으로 중화권 및 동남아시아의 시그니처 요리들을 합리적인 가격으로 만날 수 있습니다. 전문 셰프가 직접 눈 앞에서 뽑아내는 수타면으로 만든 국수, 다양한 종류의 딤섬, 신선한 해산물을 활용한 볶음밥 및 죽 요리 등의 메뉴를 선보입니다.","₩20,000 - ₩150,000","중국 요리, 패스트푸드, 인터내셔널, 아시아 요리",,"아침식사, 점심식사, 저녁식사",
1545,피자클래스중문신시가지점,,,,,"점심식사, 저녁식사",
1546,순비기식당,,,,,,
1547,한우플라자 - 삼화점,,,"아시아 요리, 한국",,,
1548,Daewonga,,,"아시아 요리, 한국",,,
1549,머루황토불갈비,,,,,,
1550,제이학센,,"₩11,000 - ₩19,500","이탈리아 요리, 독일 요리, 바베큐, 아시아 요리, 한국, 하와이",,"점심식사, 저녁식사, 브런치, 야간 영업, 음료","테이크아웃, 예약, 야외석, 주차 가능, 무료 주차장, 유아용 의자 있음, 휠체어 이용 가능, 주류 판매, 다양한 주류를 제공, 와인 및 맥주, 전자 결제, 무료 와이파이, 신용카드 결제 가능, 해변, 가족형, 금연 음식점"
1551,살찐고등어,,,일본 요리,,,
1552,이여도산아,,,"아시아 요리, 한국",,,
1553,해맞이 쉼터,,,"아시아 요리, 한국",,,
1554,옛고을갈비,,,,,,
1555,어가,,,"아시아 요리, 한국",,,
1556,담,,,"아시아 요리, 한국",,,
1557,올레삼다정,,,"아시아 요리, 한국",,,
1558,부타이 블랙,,"₩10,000 - ₩50,000",아시아 요리,,,
1559,함덕밀면,,,"아시아 요리, 한국",,,
1560,도야,,,,,,
1561,주식한돈,,,"아시아 요리, 한국, 그릴",,,
1562,숲의 시간,제주 숲에서의 고요와 평화를 느끼는 공간입니다.,"₩3,000 - ₩10,000","카페, 맥주 음식점, 아시아 요리, 한국",,"저녁식사, 음료","야외석, 주차 가능, 무료 주차장, 무료 와이파이"
1563,라운지 38,"라운지 38은 호텔 최고증에 위치하며 제주에서 가장 높은 전망을 자랑합니다. 오후 시간에는 달콤한 디저트와 커피를, 해가 지고 난 후에는 세련된 라운지 바로 변신합니다. 전문 믹솔로지스트의 스페셜 칵테일과 힙한 라이브 DJ가 직접 선정하는 음악, 아름다운 야경이 어우러지는 스카이 라운지에서 로맨틱한 순간을 맞이하세요.",,,,"점심식사, 저녁식사",
1564,피자알볼로 - 제주영어교육도시점,,,코카시안,,,
1565,비오는날의숲,,"₩17,647,060 - ₩21,176,472","프랑스 요리, 미국 요리, 아시아 요리, 한국, 컨템퍼러리, 건강식",,점심식사,"테이크아웃, 예약, 무료 야외 주차, 휠체어 이용 가능, 와인 및 맥주, 전자 결제, 무료 와이파이, 신용카드 결제 가능, 금연 음식점"
1566,제주웨딩스냅,,"₩8,235 - ₩17,647",카페,,,
1567,그랜마스 - 이도점,,,"미국 요리, 피자, 건강식, 수프",,"아침식사, 점심식사, 브런치, 음료","배달, 테이크아웃, 야외석, 좌석, 유아용 의자 있음, 휠체어 이용 가능, 마스터카드, 비자카드, 신용카드 결제 가능, 테이블 서비스, 가족형, 금연 음식점"
1568,학교종이 땡땡땡,,,"아시아 요리, 한국",,,
1569,또장군,,,,,,
1570,안녕협재씨,,,"아시아 요리, 한국",,,
1571,임금님밥상,,,"아시아 요리, 한국",,,
1572,남도맛집,,,건강식,,,
1573,고사리키친,,,"유럽 요리, 아시아 요리, 한국",,,
1574,남양통닭,,,"바베큐, 아시아 요리, 한국, 그릴, 건강식",,,
1575,명물식당,,,,,,
1576,녹나무,"직화에 구운 최상급 한우와 다양하고 정갈한 반찬의 한상차림이 정겨운 '녹나무'. 마지막 한 점까지 혀에서 사르르 녹는 한국식 소고기 구이, 제주 장인의 정성이 깃든 고소리술과 막걸리의 만남은 소중한 시간에 제주의 향기를 더해드릴 것입니다.","₩30,000 - ₩150,000","바, 바베큐, 아시아 요리, 한국, 펍",,"아침식사, 점심식사, 저녁식사",
1577,꼬꼬앤쿡,,,"아시아 요리, 한국",,,
1578,아일랜드빈티지커피,,,,,,
1579,육개장 전문점 가품,,,"아시아 요리, 한국",,,
1580,도리식당,,,,,,
